"id","name"
"dpt_01","HR GA"
"dpt_02","_NA Sales Forced Development"
"dpt_03","Board of Commissioners"
"dpt_04","Board of Directors"
"dpt_05","Creative & Production"
"dpt_06","Creative Digital"
"dpt_07","Finance"
"dpt_08","Finance Business Partner"
"dpt_09","FOOD&BEVERAGE"
"dpt_10","General Affair"
"dpt_11","HR"
"dpt_13","HRGA and Legal"
"dpt_14","Internal Audit"
"dpt_15","Legal"
"dpt_16","Legal And Repair, Preventive, Maintenance"
"dpt_17","Logistic"
"dpt_18","Marketing Communication"
"dpt_19","Merchandise"
"dpt_20","MIS"
"dpt_21","Online Sales"
"dpt_22","PPIC"
"dpt_23","Product Development"
"dpt_24","Production"
"dpt_25","Purchasing"
"dpt_26","Quality"
"dpt_27","Repair Preventive Maintenance"
"dpt_28","Research & Development"
"dpt_29","RMWH, Cutting, and Eksternal Production"
"dpt_30","Sales"
"dpt_31","Sales Dept. Store"
"dpt_32","Sales Encyclo"
"dpt_33","Sales Mezora"
"dpt_34","Sales Shafira"
"dpt_35","Sales Zhe dan Jezo"
"dpt_36","Sales Zoya Cosmetic"
"dpt_37","Sales Zoya Fashion"
"dpt_38","Sales Zoya Fashion and Mezora"
"dpt_39","Secretary to Directors"
"dpt_40","Store Development & Visual Merchandise"
"dpt_41","Supply Chain Management"
"dpt_42","Tax and Accounting"
"dpt_43","Tax, Accounting, and Finance"
"dpt_44","Technical (IT)"
"dpt_45","TORCH"