"id","name","active"
"job_01","HR GA Manager","1"
"job_02","Commissioner","1"
"job_03","Tax, Accounting & Finance Manager","1"
"job_04","Driver & Office Boy Coordinator","1"
"job_05","Food & Beverage Supervisor","1"
"job_06","GM Food & Beverage","1"
"job_07","UUDP Administration Staff","1"
"job_08","Office Boy","1"
"job_09","Compensation & Benefit Staff","1"
"job_10","Sample Follow Up Staff (Mezora)","1"
"job_11","Purchasing Barang Jadi & Konsinyasi","1"
"job_12","Field Security Coordinator","1"
"job_13","Files Support and Messenger Staff","1"
"job_14","FOB Key Account Staff (All Brand)","1"
"job_15","Technical Advisor Coordinator","1"
"job_16","Shafira Pola Marker Specialist","1"
"job_17","Purchasing Manager","1"
"job_18","Compensation & Benefit Supervisor","1"
"job_19","MFA Shafira Kartini","1"
"job_20","Purchasing Clerk Officer","1"
"job_21","Driver","1"
"job_22","Security Supervisor","1"
"job_23","MIS Manager","1"
"job_24","Area Security Coordinator","1"
"job_25","Production Planning & Support Supervisor","1"
"job_26","Zoya Fashion and Mezora Sales Operation Leader (Makassar 2)","1"
"job_27","MFA Zoya Fashion Ruko Bandar Balikpapan (Keagenan)","1"
"job_28","Security","1"
"job_29","Non Product Related Key Account Supervisor","1"
"job_30","Cutting Operator","1"
"job_31","Driver Shafira Gubeng","1"
"job_32","Zoya Cosmetics Sales Area Supervisor (Yogyakarta)","1"
"job_33","Technical (IT) General Manager","1"
"job_34","Investigation Coordinator","1"
"job_35","BU & Cleaning Service Shafira Djuanda Bogor","1"
"job_36","HRGA and Legal General Manager","1"
"job_37","Logistic Asst. Manager","1"
"job_38","MIS Technical Support Supervisor","1"
"job_39","Zoya Fashion and Mezora Sales Agent Manager","1"
"job_40","MFA Shafira Gubeng","1"
"job_41","Chief Operation Shafira Tuparev","1"
"job_42","BU & Cleaning Service Shafira Pondok Bambu","1"
"job_43","Cashier Shafira Gubeng","1"
"job_44","Zoya Fashion and Mezora Sales General Manager","1"
"job_45","Cashier Shafira Tuparev","1"
"job_46","Secretary & Adm. Support Staff","1"
"job_47","Chief Executive Officer","1"
"job_48","Finishing & QC Supervisor","1"
"job_49","Sample Sewing Operator","1"
"job_50","Sample Room Coordinator","1"
"job_51","Legal Consultant","1"
"job_52","Cycle Count & Distribution Operator","1"
"job_53","Zoya Fashion and Mezora Sales Operation Leader (Surabaya 2)","1"
"job_54","Shafira Pola Marker Operator","1"
"job_55","MIS Asst. Manager","1"
"job_56","Indent, Permak Follow Up Staff","1"
"job_57","PPIC Non Fashion Staff (Zoya Fashion-Mezora)","1"
"job_58","FOB Merchandise Administration Staff","1"
"job_59","Online Sales Staff","1"
"job_60","Key Account Asst. Manager","1"
"job_61","Cashier Shafira Banjarmasin","1"
"job_62","Accounting and Finance Asst. Manager","1"
"job_63","Store Analyst Staff","1"
"job_64","Mechanical Electrical Civil Maintenance Coordinator","1"
"job_65","Finance Business Partner General Manager","1"
"job_66","Quality Control Administration Staff","1"
"job_67","Incoming Material Quality Control Coordinator","1"
"job_68","Outbound Allocation Operator","1"
"job_69","Outbound Allocation Coordinator","1"
"job_70","Share Track & PR Administration Staff (Mezora)","1"
"job_71","Cashier Zoya Ciwalk","1"
"job_72","Finishing & Crafter Staff","1"
"job_73","Internal Production Asst. Manager","1"
"job_74","Cashier Shafira Cibubur","1"
"job_75","Shafira Designer Manager","1"
"job_76","Accessories & Supporting Fabric Buyer Staff (All Brand)","1"
"job_77","Shafira Pola Marker Supervisor","1"
"job_78","SEO Officer","1"
"job_79","Cashier Shafira Kartini","1"
"job_80","BU & Cleaning Service Shafira Cikajang","1"
"job_81","MFA Zoya Ps Baru Lt 4","1"
"job_82","Zoya Allocator Coordinator","1"
"job_83","Security Administration Staff","1"
"job_84","Outgoing Quality Control Staff","1"
"job_85","Zoya Fashion and Mezora Sales Operation Leader (Pekanbaru)","1"
"job_86","MFA Zoya Makassar 1 Petarani","1"
"job_87","Zoya Fashion and Mezora Sales Operation Leader (Makassar 3)","1"
"job_88","Cashier Mezora Urip Sumoharjo Makassar","1"
"job_89","Zoya Fashion and Mezora Sales Operation Leader (Bandung 6)","1"
"job_90","Data Analyst Staff","1"
"job_91","MFA Shafira Medan","1"
"job_92","Chief Operation Shafira Boulevard","1"
"job_93","Corporate Finance Manager","1"
"job_94","Chief Operation Shafira Palembang","1"
"job_95","Finishing & QC Coordinator","1"
"job_96","Inbound Allocation Operator","1"
"job_97","Inbound Allocation Coordinator","1"
"job_98","Cashier Shafira Djuanda Bogor","1"
"job_99","MFA Shafira Djuanda Bogor","1"
"job_100","Zoya Fashion and Mezora Sales Operation Leader (Purwakarta)","1"
"job_101","Cutting Coordinator","1"
"job_102","RMWH, Cutting, and Eksternal Production Manager","1"
"job_103","Visual Merchandise Supervisor (Zoya Fashion, Zoya Cosmetics, Mezora)","1"
"job_104","MFA Zoya Makassar 2 Perintis","1"
"job_105","Cashier Zoya Purwakarta","1"
"job_106","Field Administration Operator","1"
"job_107","Compensation & Benefit Asst. Manager","1"
"job_108","Data Analyst Specialist","1"
"job_109","Share Track & PR Administration Staff (Zoya Fashion)","1"
"job_110","Civil Engineering Staff","1"
"job_111","Sewing Operator","1"
"job_112","Zoya Fashion Textile Designer Staff","1"
"job_113","General Affair Supervisor","1"
"job_114","Field Administration Coordinator","1"
"job_115","Operator Relaksasi","1"
"job_116","Mechanical Engineering Staff","1"
"job_117","Sample Cutting Operator","1"
"job_118","Cashier Zoya Depok","1"
"job_119","Sample Room Operator","1"
"job_120","Pola Marker Staff","1"
"job_121","Zoya Fashion and Mezora Sales Operation Leader (Makassar 1)","1"
"job_122","Driver Coordinator","1"
"job_123","Pola Marker Coordinator","1"
"job_124","Zoya Fashion and Mezora Sales Operation Leader (Bandung 1)","1"
"job_125","Sample Follow Up Officer (Shafira)","1"
"job_126","Lab Officer Operator","1"
"job_127","FOB Buyer Staff","1"
"job_128","Cashier Zoya Permata Hijau","1"
"job_129","MFA Shafira Bip","1"
"job_130","MFA Zoya Fashion Pekanbaru (Keagenan)","1"
"job_131","Zoya Fashion and Mezora Sales Operation Leader (Padang)","1"
"job_132","Compliance Auditor Supervisor","1"
"job_133","Chief Operation Shafira Bsd","1"
"job_134","MFA Shafira Pekanbaru","1"
"job_135","Zoya Fashion and Mezora Sales Operation Leader (Bandung 7)","1"
"job_136","BU & Cleaning Service Shafira Kelapa Gading","1"
"job_137","Sales Secretary & Administration","1"
"job_138","NPR Buyer Staff","1"
"job_139","Zoya Allocator Staff","1"
"job_140","AP Payment Staff","1"
"job_141","Sewing Coordinator","1"
"job_142","Quality Technical Support Staff","1"
"job_143","Permak Operator (Shafira)","1"
"job_144","Production Administration Support Staff","1"
"job_145","Accessories Operator","1"
"job_146","Serial & Number Operator","1"
"job_147","Cutting Supervisor","1"
"job_148","Outgoing Quality Control Coordinator","1"
"job_149","Helper Operator","1"
"job_150","Shafira Sample Room Coordinator","1"
"job_151","Sample Follow Up Staff (Encyclo)","1"
"job_152","Panel Quality Control Operator","1"
"job_153","Legal Manager","1"
"job_154","Cashier Zoya Pekanbaru 2","1"
"job_155","MFA GA Zoya Fashion Makassar (Keagenan)","1"
"job_156","PPIC Fashion Staff (Shafira - Encyclo)","1"
"job_157","All Brand Follow Up Staff","1"
"job_158","Creative Digital Asst. Manager","1"
"job_159","Inspect Quality Control Operator","1"
"job_160","Mezora Designer Asst. Manager","1"
"job_161","Zoya Fashion and Mezora Sales Operation Leader (Balikpapan)","1"
"job_162","Showroom Maintenance Staff","1"
"job_163","MFA Zoya Fashion Medan Juanda (Keagenan)","1"
"job_164","Cashier Shafira Palembang","1"
"job_165","Sales Counter Supervisor","1"
"job_166","Mobile Store Zoya Palembang","1"
"job_167","Cashier Zoya Palembang","1"
"job_168","Cashier Zoya Tasik 2","1"
"job_169","Zoya Fashion and Mezora Sales Operation Leader (Jakarta 3)","1"
"job_170","Chief Operation Shafira Sulanjana","1"
"job_171","Secretary to Directors","1"
"job_172","MFA Zoya Depok","1"
"job_173","Cashier Zoya Pekanbaru","1"
"job_174","Cashier Shafira Cikajang","1"
"job_175","Shafira Stylist Staff","1"
"job_176","Data Analyst Investigator Staff","1"
"job_177","BU & Cleaning Service Shafira Gubeng","1"
"job_178","NPR Buyer Supervisor","1"
"job_179","Embroidery Operator","1"
"job_180","Store Development Staff (Shafira, Dept. Store & Hijab Factory)","1"
"job_181","Zoya Fashion and Mezora Sales Franchise Supervisor","1"
"job_182","Finishing Operator","1"
"job_183","Zoya Fashion Designer Asst. Manager","1"
"job_184","MFA Zoya Pekanbaru","1"
"job_185","Cashier Shafira Pekanbaru","1"
"job_186","Chief Operation Shafira Djuanda Bogor","1"
"job_187","Chief Operation Shafira Cibubur","1"
"job_188","Inventory Control & Administration Staff","1"
"job_189","Chief Operation Shafira Medan","1"
"job_190","Tax Calculation Staff (SLP & SMT)","1"
"job_191","Cashier Shafira Kawi Malang","1"
"job_192","Zoya Fashion and Mezora Sales Agent Supervisor","1"
"job_193","Cashier Zoya Ujung Berung","1"
"job_194","Chief Operation Shafira Kelapa Gading","1"
"job_195","Cashier Mezora Panakukang Makassar","1"
"job_196","Zoya Fashion and Mezora Sales Operation Leader (Banten 1)","1"
"job_197","Cashier Shafira Bintaro","1"
"job_198","Zoya Fashion and Mezora Sales Operation Leader (Palembang)","1"
"job_199","Chief Operation Shafira Kawi Malang","1"
"job_200","Mobile Store GA Zoya  Jawa barat","1"
"job_201","Zoya Fashion and Mezora Sales Operation Leader (Jogja-Solo)","1"
"job_202","Mobile Store GA Zoya Makassar","1"
"job_203","Cashier Shafira Sulanjana","1"
"job_204","Zoya Fashion and Mezora Sales Operation Leader (Bandung 4)","1"
"job_205","Zoya Fashion Tracking and Support Sample Operator","1"
"job_206","Chief Operation Shafira Bintaro","1"
"job_207","MFA Zoya Palembang","1"
"job_208","Zoya Fashion and Mezora Sales Operation Leader (Medan 2)","1"
"job_209","Software Development Staff","1"
"job_210","Sample Follow Up Administration Specialist (Zoya Fashion & Mezora)","1"
"job_211","Cashier Shafira Medan","1"
"job_212","BU & Cleaning Service Shafira Boulevard","1"
"job_213","MFA Zoya Canvasing Makassar","1"
"job_214","Zoya Cosmetics Product Development Manager","1"
"job_215","Mechanical Engineering Operator","1"
"job_216","Zoya Fashion and Mezora Sales Operation Leader (Malang 2)","1"
"job_217","Zoya Fashion and Mezora Sales Operation Leader (Bandung 3)","1"
"job_218","Cashier Shafira Pondok Bambu","1"
"job_219","MFA Zoya Pekanbaru 2","1"
"job_220","MFA Shafira Kawi Malang","1"
"job_221","Mobile Store GA Zoya  Diponegoro Surabaya","1"
"job_222","MFA Shafira Pondok Bambu","1"
"job_223","Cashier Zoya Balikpapan (Ruko Bandar)","1"
"job_224","Cashier Zoya Samarinda 2 Lembuswana","1"
"job_225","Sample Follow Up Administration Specialist (Shafira, Encyclo, Dept. Store)","1"
"job_226","Zoya Fashion and Mezora Sales Operation Leader (Sumedang)","1"
"job_227","Cashier Mezora Purwakarta","1"
"job_228","Zoya Fashion and Mezora Sales Operation Leader (Kediri)","1"
"job_229","Cashier Zoya Kediri","1"
"job_230","Cashier Zoya Solo 2","1"
"job_231","MFA Zoya Ciwalk","1"
"job_232","Internal Audit General Manager","1"
"job_233","Chief Operation Shafira Pekanbaru","1"
"job_234","Cashier Zoya Medan Juanda","1"
"job_235","MFA Shafira Tuparev","1"
"job_236","MFA Shafira Samarinda","1"
"job_237","Cashier Zoya Aceh","1"
"job_238","MFA  Zoya Fashion Kediri ( Keagenan )","1"
"job_239","General Ledger Staff (SMT)","1"
"job_240","Financial Analyst Supervisor","1"
"job_241","Zoya Fashion and Mezora Sales Operation Leader (Cirebon)","1"
"job_242","Outbond Administration Staff","1"
"job_243","Dept. Store Brand Guardian Supervisor","1"
"job_244","Zoya Cosmetics Modern Trade, Own Store, Franchise Area Supervisor","1"
"job_245","Chief Operation SR & LGM Pondok Bambu","1"
"job_246","Shafira MD Asst. Manager","1"
"job_247","Front Office Staff","1"
"job_248","Manager Mahanagari","1"
"job_249","Chief Designer Mahanagari","1"
"job_250","Wardrobe & Stylist Staff","1"
"job_251","Cashier Zoya Cimanggis Square","1"
"job_252","Paralegal & EHS Staff","1"
"job_253","MFA Mezora Permata Hijau","1"
"job_254","MFA Zoya Ciputat","1"
"job_255","Beauty Advisor Zoya Cosmetics Bangka","1"
"job_256","General Ledger Staff (SLP & Import)","1"
"job_257","Zoya Cosmetics Sales & Inventory Control Supervisor","1"
"job_258","Store Development Manager","1"
"job_259","Invoicing Staff","1"
"job_260","Cashier Zoya Mampang Jakarta","1"
"job_261","Food And Beverage Product Development Head","1"
"job_262","Beauty Advisor Zoya Cosmetics Batam","1"
"job_263","Zoya Cosmetics Sales Area Supervisor (Pekanbaru)","1"
"job_264","Cashier Zoya Magelang","1"
"job_265","Zoya Fashion and Mezora Sales Operation Leader (Magelang)","1"
"job_266","Chief Operation Zoya Cosmetics Yogyakarta","1"
"job_267","Zoya Fashion and Mezora Sales Operation Leader (Aceh)","1"
"job_268","Internal Audit Staf","1"
"job_269","Store Development & Visual Merchandise General Manager","1"
"job_270","Zoya Fashion and Mezora Sales Operation Leader (Cikarang- Bekasi)","1"
"job_271","Cashier Zoya Grand Metropolitan Mall Bekasi","1"
"job_272","MFA Zoya Grand Metropolitan Mall Bekasi","1"
"job_273","Sewing Supervisor","1"
"job_274","Cashier Shafira Samarinda","1"
"job_275","Cashier Zoya Banjar","1"
"job_276","MFA Zoya Banjar","1"
"job_277","Visual Merchandise Staff ( Zoya Fashion , Zoya Cosmetic )","1"
"job_278","Sales Forced Development Specialist","1"
"job_279","Visual Merchandise Supervisor (Shafira, Encyclo, Dept. Store, Morning Bread)","1"
"job_280","MFA Zoya Aceh","1"
"job_281","Beauty Advisor Zoya Cosmetics Jawa Barat","1"
"job_282","Beauty Advisor Zoya Cosmetics Surabaya 1 (GT)","1"
"job_283","Cashier Zoya Thamrin City","1"
"job_284","Cashier Zoya Ps Baru Lt 4","1"
"job_285","Cashier Zoya Diponegoro Surabaya","1"
"job_286","Beauty Advisor Zoya Cosmetics Padang","1"
"job_287","Zoya Cosmetics Sales Area Supervisor (Padang)","1"
"job_288","GA & HR Service & Relations Asst. Manager","1"
"job_289","Cashier Shafira Bip","1"
"job_290","MFA Zoya Cikarang 1","1"
"job_291","Cashier Zoya Baltos","1"
"job_292","Chief Operation Shafira Gubeng","1"
"job_293","Zoya Cosmetics Sales Area Supervisor (Gorontalo)","1"
"job_294","Eksternal Production Administration Staff","1"
"job_295","Zoya Stylist Staff","1"
"job_296","MFA Canvassing Zoya Fashion Jawa Barat","1"
"job_297","MFA Zoya Diponegoro Surabaya","1"
"job_298","Creative Content Staff","1"
"job_299","MFA Zoya Kawi Malang","1"
"job_300","Cashier Mezora Baltos","1"
"job_301","Online Sales Administration Staff","1"
"job_302","Chief Operation Shafira Samarinda","1"
"job_303","Zoya Cosmetics Sales Area Supervisor (Batam)","1"
"job_304","Field Auditor Coordinator","1"
"job_305","Beauty Advisor Zoya Cosmetics Bogor","1"
"job_306","Dept. Store Designer Staff","1"
"job_307","Beauty Advisor Zoya Cosmetics Pekanbaru","1"
"job_308","Cashier Zoya Plaza Medan Fair","1"
"job_309","MFA Shafira Buah Batu","1"
"job_310","Quality Asst. Manager","1"
"job_311","MFA Zoya Palu","1"
"job_312","Marketing Communication Manager","1"
"job_313","Canvasing Adminitration Staff","1"
"job_314","Art Production Staff","1"
"job_315","Mezora Allocator Staff","1"
"job_316","Document Control Staff","1"
"job_317","Zoya Fashion and Mezora Sales Operation Leader (Banten 2)","1"
"job_318","Shafira Sample Room Supervisor","1"
"job_319","MFA Zoya Mampang Jakarta","1"
"job_320","Beauty Advisor Zoya Cosmetics Pontianak","1"
"job_321","Food and Bevarage Purchasing Staff","1"
"job_322","Chef Pastry","1"
"job_323","Cook Java Focaccia","1"
"job_324","Service Java Focaccia","1"
"job_325","MFA Mezora Bip","1"
"job_326","Staff Event Marketing (food and Beverage)","1"
"job_327","MFA Zoya Palangkaraya 1","1"
"job_328","Mezora Designer Staff","1"
"job_329","Sample Follow Up Staff (Zoya Fashion)","1"
